52.42.64.74 - - [12/Jul/2016:10:13:14 -0700] "GET /robots.txt HTTP/1.1" 200 49 "-" "Mozilla/5.0 (compatible; DomainAppender /1.0; +http://www.profound.net/domainappender)" "www.superior-dentistry.com"
52.42.64.74 - - [12/Jul/2016:10:13:15 -0700] "GET /robots.txt HTTP/1.1" 200 49 "-" "Mozilla/5.0 (compatible; DomainAppender /1.0; +http://www.profound.net/domainappender)" "superior-dentistry.com"
52.42.64.74 - - [12/Jul/2016:10:13:30 -0700] "GET / HTTP/1.1" 200 38900 "-" "Mozilla/5.0 (compatible; DomainAppender /1.0; +http://www.profound.net/domainappender)" "www.superior-dentistry.com"
52.42.64.74 - - [12/Jul/2016:10:13:59 -0700] "GET /meet-staff.html HTTP/1.1" 200 22168 "-" "Mozilla/5.0 (compatible; DomainAppender /1.0; +http://www.profound.net/domainappender)" "www.superior-dentistry.com"
45.33.116.199 - - [12/Jul/2016:10:19:36 -0700] "HEAD / HTTP/1.1" 200 0 "http://www.secretsearchenginelabs.com/secret-web-crawler.php" "Mozilla/5.0 (compatible; SecretSerachEngineLabs.com-SBSearch/0.9; http://www.secretsearchenginelabs.com/secret-web-crawler.php)" "superior-dentistry.com"
45.33.116.199 - - [12/Jul/2016:10:19:36 -0700] "GET / HTTP/1.1" 200 38900 "http://www.secretsearchenginelabs.com/secret-web-crawler.php" "Mozilla/5.0 (compatible; SecretSerachEngineLabs.com-SBSearch/0.9; http://www.secretsearchenginelabs.com/secret-web-crawler.php)" "superior-dentistry.com"
54.153.112.3 - - [12/Jul/2016:11:01:51 -0700] "GET /robots.txt HTTP/1.1" 200 49 "-" "Mozilla/5.0 (compatible; DomainAppender /1.0; +http://www.profound.net/domainappender)" "www.superior-dentistry.com"[0]
54.153.112.3 - - [12/Jul/2016:11:01:52 -0700] "GET /robots.txt HTTP/1.1" 200 49 "-" "Mozilla/5.0 (compatible; DomainAppender /1.0; +http://www.profound.net/domainappender)" "superior-dentistry.com"
54.153.112.3 - - [12/Jul/2016:11:02:22 -0700] "GET /contact-us.html HTTP/1.1" 200 23728 "-" "Mozilla/5.0 (compatible; DomainAppender /1.0; +http://www.profound.net/domainappender)" "www.superior-dentistry.com"
54.153.112.3 - - [12/Jul/2016:11:02:26 -0700] "GET /meet-staff.html HTTP/1.1" 200 22168 "-" "Mozilla/5.0 (compatible; DomainAppender /1.0; +http://www.profound.net/domainappender)" "www.superior-dentistry.com"
198.16.7.150 - - [12/Jul/2016:11:04:51 -0700] "GET / HTTP/1.1" 200 38900 "-" "FreeWebMonitoring SiteChecker/0.2 (+http://www.freewebmonitoring.com/bot.html)" "www.superior-dentistry.com"
71.120.30.22 - - [12/Jul/2016:11:17:10 -0700] "GET / HTTP/1.1" 200 38900 "https://www.google.com/" "Mozilla/5.0 (Linux; Android 6.0.1; SM-G930V Build/MMB29M) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/51.0.2704.81 Mobile Safari/537.36" "www.superior-dentistry.com"
71.120.30.22 - - [12/Jul/2016:11:17:11 -0700] "GET /js/ie10-viewport-bug-workaround.js HTTP/1.1" 200 694 "http://www.superior-dentistry.com/" "Mozilla/5.0 (Linux; Android 6.0.1; SM-G930V Build/MMB29M) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/51.0.2704.81 Mobile Safari/537.36" "www.superior-dentistry.com"[0]
71.120.30.22 - - [12/Jul/2016:11:17:11 -0700] "GET /js/docs.min.js HTTP/1.1" 304 - "http://www.superior-dentistry.com/" "Mozilla/5.0 (Linux; Android 6.0.1; SM-G930V Build/MMB29M) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/51.0.2704.81 Mobile Safari/537.36" "www.superior-dentistry.com"
71.120.30.22 - - [12/Jul/2016:11:17:11 -0700] "GET /js/bootstrap.min.js HTTP/1.1" 304 - "http://www.superior-dentistry.com/" "Mozilla/5.0 (Linux; Android 6.0.1; SM-G930V Build/MMB29M) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/51.0.2704.81 Mobile Safari/537.36" "www.superior-dentistry.com"
71.120.30.22 - - [12/Jul/2016:11:17:11 -0700] "GET /img/dental-implants.jpg HTTP/1.1" 200 22844 "http://www.superior-dentistry.com/" "Mozilla/5.0 (Linux; Android 6.0.1; SM-G930V Build/MMB29M) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/51.0.2704.81 Mobile Safari/537.36" "www.superior-dentistry.com"[0]
71.120.30.22 - - [12/Jul/2016:11:17:11 -0700] "GET /img/meetdr-ali.jpg HTTP/1.1" 200 60533 "http://www.superior-dentistry.com/" "Mozilla/5.0 (Linux; Android 6.0.1; SM-G930V Build/MMB29M) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/51.0.2704.81 Mobile Safari/537.36" "www.superior-dentistry.com"
71.120.30.22 - - [12/Jul/2016:11:17:11 -0700] "GET /img/meetdr-melika.jpg HTTP/1.1" 200 75968 "http://www.superior-dentistry.com/" "Mozilla/5.0 (Linux; Android 6.0.1; SM-G930V Build/MMB29M) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/51.0.2704.81 Mobile Safari/537.36" "www.superior-dentistry.com"
71.120.30.22 - - [12/Jul/2016:11:17:11 -0700] "GET /img/jaw-surgery.jpg HTTP/1.1" 200 27058 "http://www.superior-dentistry.com/" "Mozilla/5.0 (Linux; Android 6.0.1; SM-G930V Build/MMB29M) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/51.0.2704.81 Mobile Safari/537.36" "www.superior-dentistry.com"
71.120.30.22 - - [12/Jul/2016:11:17:11 -0700] "GET /img/tmj-trauma.jpg HTTP/1.1" 200 22488 "http://www.superior-dentistry.com/" "Mozilla/5.0 (Linux; Android 6.0.1; SM-G930V Build/MMB29M) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/51.0.2704.81 Mobile Safari/537.36" "www.superior-dentistry.com"
71.120.30.22 - - [12/Jul/2016:11:17:11 -0700] "GET /img/slider1.jpg HTTP/1.1" 200 268888 "http://www.superior-dentistry.com/" "Mozilla/5.0 (Linux; Android 6.0.1; SM-G930V Build/MMB29M) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/51.0.2704.81 Mobile Safari/537.36" "www.superior-dentistry.com"
71.120.30.22 - - [12/Jul/2016:11:17:11 -0700] "GET /img/slider2.jpg HTTP/1.1" 200 345766 "http://www.superior-dentistry.com/" "Mozilla/5.0 (Linux; Android 6.0.1; SM-G930V Build/MMB29M) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/51.0.2704.81 Mobile Safari/537.36" "www.superior-dentistry.com"
71.120.30.22 - - [12/Jul/2016:11:17:11 -0700] "GET /img/patients-choice-winner-2015.png HTTP/1.1" 200 9818 "http://www.superior-dentistry.com/" "Mozilla/5.0 (Linux; Android 6.0.1; SM-G930V Build/MMB29M) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/51.0.2704.81 Mobile Safari/537.36" "www.superior-dentistry.com"
