61.135.190.221 - - [26/Apr/2016:00:01:45 -0700] "GET /js/ie-emulation-modes-warning.js HTTP/1.1" 200 2132 "http://superior-dentistry.com/" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.143 Safari/537.36" "superior-dentistry.com"
61.135.190.223 - - [26/Apr/2016:00:01:53 -0700] "GET /js/bootstrap.min.js HTTP/1.1" 200 35601 "http://superior-dentistry.com/" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.143 Safari/537.36" "superior-dentistry.com"
61.135.190.223 - - [26/Apr/2016:00:01:54 -0700] "GET /js/docs.min.js HTTP/1.1" 200 43299 "http://superior-dentistry.com/" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.143 Safari/537.36" "superior-dentistry.com"
61.135.190.223 - - [26/Apr/2016:00:01:55 -0700] "GET /js/ie10-viewport-bug-workaround.js HTTP/1.1" 200 694 "http://superior-dentistry.com/" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.143 Safari/537.36" "superior-dentistry.com"
198.16.7.150 - - [26/Apr/2016:00:12:31 -0700] "GET / HTTP/1.1" 200 38900 "-" "FreeWebMonitoring SiteChecker/0.2 (+http://www.freewebmonitoring.com/bot.html)" "www.superior-dentistry.com"
52.3.146.92 - - [26/Apr/2016:00:46:26 -0700] "GET /robots.txt HTTP/1.1" 200 49 "-" "Thumbtack-Thunderdome/1.0" "www.superior-dentistry.com"
52.3.146.92 - - [26/Apr/2016:00:46:26 -0700] "GET / HTTP/1.1" 200 38900 "-" "Thumbtack-Thunderdome/1.0" "www.superior-dentistry.com"
52.3.146.92 - - [26/Apr/2016:00:46:27 -0700] "GET /index.html HTTP/1.1" 200 38900 "-" "Thumbtack-Thunderdome/1.0" "www.superior-dentistry.com"
52.3.146.92 - - [26/Apr/2016:00:46:28 -0700] "GET /meet-staff.html HTTP/1.1" 200 22168 "-" "Thumbtack-Thunderdome/1.0" "www.superior-dentistry.com"
52.3.146.92 - - [26/Apr/2016:00:46:29 -0700] "GET /services.html HTTP/1.1" 200 34139 "-" "Thumbtack-Thunderdome/1.0" "www.superior-dentistry.com"
52.3.146.92 - - [26/Apr/2016:00:46:30 -0700] "GET /firstvisit.html HTTP/1.1" 200 24044 "-" "Thumbtack-Thunderdome/1.0" "www.superior-dentistry.com"
52.3.146.92 - - [26/Apr/2016:00:46:32 -0700] "GET /Patient-Before-After-Gallery.html HTTP/1.1" 200 23787 "-" "Thumbtack-Thunderdome/1.0" "www.superior-dentistry.com"
52.3.146.92 - - [26/Apr/2016:00:46:33 -0700] "GET /blog.php HTTP/1.1" 200 107037 "-" "Thumbtack-Thunderdome/1.0" "www.superior-dentistry.com"
52.3.146.92 - - [26/Apr/2016:00:46:35 -0700] "GET /contact-us.html HTTP/1.1" 200 23728 "-" "Thumbtack-Thunderdome/1.0" "www.superior-dentistry.com"
52.3.146.92 - - [26/Apr/2016:00:46:36 -0700] "GET /Dentistry-Maryland-MD.html HTTP/1.1" 200 30875 "-" "Thumbtack-Thunderdome/1.0" "www.superior-dentistry.com"
52.3.146.92 - - [26/Apr/2016:00:46:37 -0700] "GET /testimonials.html HTTP/1.1" 200 24785 "-" "Thumbtack-Thunderdome/1.0" "www.superior-dentistry.com"
52.3.146.92 - - [26/Apr/2016:00:46:39 -0700] "GET /testimonial.html HTTP/1.1" 404 89 "-" "Thumbtack-Thunderdome/1.0" "www.superior-dentistry.com"
52.3.146.92 - - [26/Apr/2016:00:46:40 -0700] "GET / HTTP/1.1" 200 38900 "-" "Thumbtack-Thunderdome/1.0" "www.superior-dentistry.com"
