60.49.73.219 - - [26/Oct/2015:21:48:16 -0700] "GET /css/bootstrap.css HTTP/1.1" 200 138415 "http://superior-dentistry.com/" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.143 Safari/537.36" "superior-dentistry.com"
60.49.73.219 - - [26/Oct/2015:21:48:18 -0700] "GET /js/ie-emulation-modes-warning.js HTTP/1.1" 200 2132 "http://superior-dentistry.com/" "Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/36.0.1985.143 Safari/537.36" "superior-dentistry.com"
66.249.69.77 - - [26/Oct/2015:22:02:13 -0700] "GET /img/logo.jpg HTTP/1.1" 200 139628 "-" "Googlebot-Image/1.0" "www.superior-dentistry.com"
66.249.69.77 - - [26/Oct/2015:22:02:19 -0700] "GET /img/tmj-trauma.jpg HTTP/1.1" 200 22488 "-" "Googlebot-Image/1.0" "www.superior-dentistry.com"
66.249.69.85 - - [26/Oct/2015:22:02:21 -0700] "GET /img/meetdr-ali.jpg HTTP/1.1" 200 60533 "-" "Googlebot-Image/1.0" "www.superior-dentistry.com"
50.38.36.213 - - [26/Oct/2015:22:06:22 -0700] "GET /images/night-guard.jpg HTTP/1.1" 404 89 "http://www.bing.com/images/search?q=Night+Tooth+Guard&view=detailv2&&id=7A658F07B18502508EC8CDD4C46259B5F33669B9&selectedIndex=8&ccid=U4GOXF1w&simid=608047398548670300&thid=OIP.M53818e5c5d702d9975ea73a9b4ebaa96H0&mode=overlay" "Mozilla/5.0 (Windows NT 6.3; WOW64; Trident/7.0; rv:11.0) like Gecko" "www.superior-dentistry.com"
157.55.39.253 - - [26/Oct/2015:22:25:31 -0700] "GET /robots.txt HTTP/1.1" 200 49 "-" "Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)" "www.superior-dentistry.com"
208.122.6.102 - - [26/Oct/2015:22:36:10 -0700] "GET / HTTP/1.1" 200 38156 "-" "FreeWebMonitoring SiteChecker/0.2 (+http://www.freewebmonitoring.com/bot.html)" "www.superior-dentistry.com"
180.76.15.18 - - [26/Oct/2015:22:38:20 -0700] "GET /blog.php HTTP/1.1" 200 99736 "-" "Mozilla/5.0 (compatible; Baiduspider/2.0; +http://www.baidu.com/search/spider.html)" "superior-dentistry.com"
217.69.133.11 - - [27/Oct/2015:00:53:07 -0700] "GET /Dental-Sites-We-Like.html HTTP/1.1" 200 41324 "-" "Mozilla/5.0 (compatible; Linux x86_64; Mail.RU_Bot/2.0; +http://go.mail.ru/help/robots)" "www.superior-dentistry.com"
