207.46.13.134 - - [18/Jun/2016:02:40:37 -0700] "GET /Dentist-Bowie-MD/popup/ HTTP/1.1" 200 991 "-" "Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)" "www.superior-dentistry.com"
198.16.7.150 - - [18/Jun/2016:03:05:59 -0700] "GET / HTTP/1.1" 200 38900 "-" "FreeWebMonitoring SiteChecker/0.2 (+http://www.freewebmonitoring.com/bot.html)" "www.superior-dentistry.com"
157.55.39.18 - - [18/Jun/2016:03:22:11 -0700] "GET /special-offers.html HTTP/1.1" 200 23685 "-" "Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)" "www.superior-dentistry.com"
45.55.131.70 - - [18/Jun/2016:04:15:38 -0700] "GET /index.html HTTP/1.1" 200 38900 "http://www.superior-dentistry.com/" "Mozilla/5.0 (compatible; spbot/5.0.2; +http://OpenLinkProfiler.org/bot )" "www.superior-dentistry.com"
45.55.131.70 - - [18/Jun/2016:04:15:47 -0700] "GET /services.html HTTP/1.1" 200 34139 "http://www.superior-dentistry.com/" "Mozilla/5.0 (compatible; spbot/5.0.2; +http://OpenLinkProfiler.org/bot )" "www.superior-dentistry.com"
45.55.131.70 - - [18/Jun/2016:04:15:57 -0700] "GET /meet-staff.php HTTP/1.1" 200 73 "http://www.superior-dentistry.com/blog.php" "Mozilla/5.0 (compatible; spbot/5.0.2; +http://OpenLinkProfiler.org/bot )" "www.superior-dentistry.com"
45.55.131.70 - - [18/Jun/2016:04:16:17 -0700] "GET /Dental-Links.html HTTP/1.1" 200 27799 "http://www.superior-dentistry.com/" "Mozilla/5.0 (compatible; spbot/5.0.2; +http://OpenLinkProfiler.org/bot )" "www.superior-dentistry.com"
45.55.131.70 - - [18/Jun/2016:04:16:22 -0700] "GET /testimonials.html HTTP/1.1" 200 24785 "http://www.superior-dentistry.com/" "Mozilla/5.0 (compatible; spbot/5.0.2; +http://OpenLinkProfiler.org/bot )" "www.superior-dentistry.com"
45.55.131.70 - - [18/Jun/2016:04:16:32 -0700] "GET /Dental-LinkExchange.html HTTP/1.1" 200 24959 "http://www.superior-dentistry.com/" "Mozilla/5.0 (compatible; spbot/5.0.2; +http://OpenLinkProfiler.org/bot )" "www.superior-dentistry.com"
45.55.131.70 - - [18/Jun/2016:04:16:37 -0700] "GET /Dental-Sites-We-Like.html HTTP/1.1" 200 41846 "http://www.superior-dentistry.com/" "Mozilla/5.0 (compatible; spbot/5.0.2; +http://OpenLinkProfiler.org/bot )" "www.superior-dentistry.com"
