37.57.176.226 - - [07/Jul/2016:02:24:54 -0700] "GET /configuration.php.bak HTTP/1.1" 200 73 "-" "Mozilla/5.0 (Windows NT 6.1; WOW64; rv:40.0) Gecko/20100101 Firefox/40.1" "superior-dentistry.com"
37.57.176.226 - - [07/Jul/2016:02:24:54 -0700] "GET /wp-config.php.bak HTTP/1.1" 200 73 "-" "Mozilla/5.0 (Windows NT 6.1; WOW64; rv:40.0) Gecko/20100101 Firefox/40.1" "superior-dentistry.com"
37.57.176.226 - - [07/Jul/2016:02:24:54 -0700] "GET /%23configuration.php%23 HTTP/1.1" 404 89 "-" "Mozilla/5.0 (Windows NT 6.1; WOW64; rv:40.0) Gecko/20100101 Firefox/40.1" "superior-dentistry.com"
37.57.176.226 - - [07/Jul/2016:02:24:54 -0700] "GET /configuration.php.dist HTTP/1.1" 200 73 "-" "Mozilla/5.0 (Windows NT 6.1; WOW64; rv:40.0) Gecko/20100101 Firefox/40.1" "superior-dentistry.com"
37.57.176.226 - - [07/Jul/2016:02:24:54 -0700] "GET /configuration.php. HTTP/1.1" 200 73 "-" "Mozilla/5.0 (Windows NT 6.1; WOW64; rv:40.0) Gecko/20100101 Firefox/40.1" "superior-dentistry.com"
37.57.176.226 - - [07/Jul/2016:02:24:54 -0700] "GET /configuration.php.old HTTP/1.1" 200 73 "-" "Mozilla/5.0 (Windows NT 6.1; WOW64; rv:40.0) Gecko/20100101 Firefox/40.1" "superior-dentistry.com"
37.57.176.226 - - [07/Jul/2016:02:24:54 -0700] "GET /wp-config.php.dist HTTP/1.1" 200 73 "-" "Mozilla/5.0 (Windows NT 6.1; WOW64; rv:40.0) Gecko/20100101 Firefox/40.1" "superior-dentistry.com"
37.57.176.226 - - [07/Jul/2016:02:24:54 -0700] "GET /wp-config.php.swp HTTP/1.1" 200 73 "-" "Mozilla/5.0 (Windows NT 6.1; WOW64; rv:40.0) Gecko/20100101 Firefox/40.1" "superior-dentistry.com"
37.57.176.226 - - [07/Jul/2016:02:24:54 -0700] "GET /configuration.php HTTP/1.1" 200 73 "-" "Mozilla/5.0 (Windows NT 6.1; WOW64; rv:40.0) Gecko/20100101 Firefox/40.1" "superior-dentistry.com"
37.57.176.226 - - [07/Jul/2016:02:24:54 -0700] "GET /backup.configuration.php HTTP/1.1" 200 73 "-" "Mozilla/5.0 (Windows NT 6.1; WOW64; rv:40.0) Gecko/20100101 Firefox/40.1" "superior-dentistry.com"
37.57.176.226 - - [07/Jul/2016:02:24:59 -0700] "GET /wp-config.php. HTTP/1.1" 200 73 "-" "Mozilla/5.0 (Windows NT 6.1; WOW64; rv:40.0) Gecko/20100101 Firefox/40.1" "superior-dentistry.com"
37.57.176.226 - - [07/Jul/2016:02:24:59 -0700] "GET /wp-config.php_backup HTTP/1.1" 404 89 "-" "Mozilla/5.0 (Windows NT 6.1; WOW64; rv:40.0) Gecko/20100101 Firefox/40.1" "superior-dentistry.com"
