54.208.149.147 - - [15/Jan/2016:21:27:13 -0800] "GET /Dentistry-Maryland-MD.html HTTP/1.1" 200 31039 "-" "Thumbtack-Thunderdome/1.0" "www.superior-dentistry.com"
54.208.149.147 - - [15/Jan/2016:21:27:14 -0800] "GET /contact-us.php HTTP/1.1" 200 73 "-" "Thumbtack-Thunderdome/1.0" "www.superior-dentistry.com"
54.208.149.147 - - [15/Jan/2016:21:27:15 -0800] "GET /firstvisit.php HTTP/1.1" 200 73 "-" "Thumbtack-Thunderdome/1.0" "www.superior-dentistry.com"
54.208.149.147 - - [15/Jan/2016:21:27:16 -0800] "GET /testimonials.html HTTP/1.1" 200 24783 "-" "Thumbtack-Thunderdome/1.0" "www.superior-dentistry.com"
54.208.149.147 - - [15/Jan/2016:21:27:17 -0800] "GET /testimonial.html HTTP/1.1" 404 89 "-" "Thumbtack-Thunderdome/1.0" "www.superior-dentistry.com"
54.208.149.147 - - [15/Jan/2016:21:27:19 -0800] "GET /services.php HTTP/1.1" 200 73 "-" "Thumbtack-Thunderdome/1.0" "www.superior-dentistry.com"
54.208.149.147 - - [15/Jan/2016:21:27:21 -0800] "GET /Dentist-Bowie-MD/Dental-Implants-Maryland-MD.html HTTP/1.1" 200 33055 "-" "Thumbtack-Thunderdome/1.0" "www.superior-dentistry.com"
54.208.149.147 - - [15/Jan/2016:21:27:23 -0800] "GET /index.php HTTP/1.1" 200 73 "-" "Thumbtack-Thunderdome/1.0" "www.superior-dentistry.com"
54.208.149.147 - - [15/Jan/2016:21:27:24 -0800] "GET /Dental-Links.html HTTP/1.1" 200 27636 "-" "Thumbtack-Thunderdome/1.0" "www.superior-dentistry.com"
54.208.149.147 - - [15/Jan/2016:21:27:25 -0800] "GET /meet-staff.php HTTP/1.1" 200 73 "-" "Thumbtack-Thunderdome/1.0" "www.superior-dentistry.com"
54.208.149.147 - - [15/Jan/2016:21:27:40 -0800] "GET /orthognathic-jaw-surgery.html HTTP/1.1" 404 89 "-" "Thumbtack-Thunderdome/1.0" "www.superior-dentistry.com"
54.208.149.147 - - [15/Jan/2016:21:27:41 -0800] "GET /oral-pathology.html HTTP/1.1" 404 89 "-" "Thumbtack-Thunderdome/1.0" "www.superior-dentistry.com"
54.208.149.147 - - [15/Jan/2016:21:27:42 -0800] "GET /tmj-disorder.html HTTP/1.1" 404 89 "-" "Thumbtack-Thunderdome/1.0" "www.superior-dentistry.com"
54.208.149.147 - - [15/Jan/2016:21:27:44 -0800] "GET /treatment.php HTTP/1.1" 200 21262 "-" "Thumbtack-Thunderdome/1.0" "www.superior-dentistry.com"
54.208.149.147 - - [15/Jan/2016:21:27:45 -0800] "GET /patient.html HTTP/1.1" 404 89 "-" "Thumbtack-Thunderdome/1.0" "www.superior-dentistry.com"
54.208.149.147 - - [15/Jan/2016:21:27:46 -0800] "GET /aboutus.html HTTP/1.1" 404 89 "-" "Thumbtack-Thunderdome/1.0" "www.superior-dentistry.com"
54.208.149.147 - - [15/Jan/2016:21:27:47 -0800] "GET /Dentist-Bowie-MD/Tooth-Extractions-Maryland-MD.html HTTP/1.1" 200 32565 "-" "Thumbtack-Thunderdome/1.0" "www.superior-dentistry.com"
200.239.61.152 - - [15/Jan/2016:21:44:51 -0800] "GET /Patient-Before-After-Gallery.html HTTP/1.1" 200 23787 "http://www.superior-dentistry.com" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_2) AppleWebKit/537.74.9 (KHTML, like Gecko) Version/7.0.2 Safari/537.74.9" "www.superior-dentistry.com"
50.72.185.113 - - [15/Jan/2016:21:46:26 -0800] "GET /images/implant-before-and-after.jpg HTTP/1.1" 404 89 "-" "Mozilla/5.0 (Windows NT 6.1; WOW64; rv:43.0) Gecko/20100101 Firefox/43.0" "www.superior-dentistry.com"
112.25.41.136 - - [15/Jan/2016:21:46:50 -0800] "GET /contact-us.php HTTP/1.1" 200 73 "http://www.superior-dentistry.com" "Mozilla/5.0 (Windows NT 6.1; WOW64; rv:27.0) Gecko/20100101 Firefox/27.0" "www.superior-dentistry.com"
112.25.41.136 - - [15/Jan/2016:21:46:51 -0800] "GET /contact-us.php HTTP/1.1" 200 73 "http://www.superior-dentistry.com" "Mozilla/5.0 (Windows NT 6.1; WOW64; rv:27.0) Gecko/20100101 Firefox/27.0" "www.superior-dentistry.com"
112.25.41.136 - - [15/Jan/2016:21:46:52 -0800] "GET /contact-us.php HTTP/1.1" 200 73 "http://www.superior-dentistry.com" "Mozilla/5.0 (Windows NT 6.1; WOW64; rv:27.0) Gecko/20100101 Firefox/27.0" "www.superior-dentistry.com"
112.25.41.136 - - [15/Jan/2016:21:46:53 -0800] "GET /contact-us.php HTTP/1.1" 200 73 "http://www.superior-dentistry.com" "Mozilla/5.0 (Windows NT 6.1; WOW64; rv:27.0) Gecko/20100101 Firefox/27.0" "www.superior-dentistry.com"
76.173.178.214 - - [15/Jan/2016:22:19:44 -0800] "GET /images/implant-before-and-after.jpg HTTP/1.1" 404 89 "http://search.yahoo.com/search?p=david+bowie+teeth+before+and+after&fr=ipad" "Mozilla/5.0 (iPad; CPU OS 7_0_4 like Mac OS X) AppleWebKit/537.51.1 (KHTML, like Gecko) Version/7.0 Mobile/11B554a Safari/9537.53" "www.superior-dentistry.com"
66.249.69.168 - - [15/Jan/2016:22:26:32 -0800] "GET /assets/flash/ZeroClipboard.swf?noCache=1452816000033&trustedOrigins=www.superior-dentistry.com%2C%2F%2Fwww.superior-dentistry.com%2Chttp%3A%2F%2Fwww.superior-dentistry.com HTTP/1.1" 404 89 "-" "Googlebot-Video/1.0" "www.superior-dentistry.com"
208.122.6.102 - - [15/Jan/2016:22:36:42 -0800] "GET / HTTP/1.1" 200 38156 "-" "FreeWebMonitoring SiteChecker/0.2 (+http://www.freewebmonitoring.com/bot.html)" "www.superior-dentistry.com"
176.31.24.29 - - [15/Jan/2016:22:52:14 -0800] "GET / HTTP/1.1" 200 38156 "-" "Mozilla/5.0 (X11; Ubuntu; Linux i686 on x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/35.0.1944.38 Safari/537.36" "superior-dentistry.com"
199.30.24.141 - - [15/Jan/2016:23:06:03 -0800] "GET /theme.css HTTP/1.1" 200 1926 "http://www.superior-dentistry.com/" "Mozilla/5.0 (iPhone; CPU iPhone OS 7_0 like Mac OS X) AppleWebKit/537.51.1 (KHTML, like Gecko) Version/7.0 Mobile/11A465 Safari/9537.53 BingPreview/1.0b" "www.superior-dentistry.com"
199.30.24.141 - - [15/Jan/2016:23:06:04 -0800] "GET /css/font-awesome.css HTTP/1.1" 200 28747 "http://www.superior-dentistry.com/" "Mozilla/5.0 (iPhone; CPU iPhone OS 7_0 like Mac OS X) AppleWebKit/537.51.1 (KHTML, like Gecko) Version/7.0 Mobile/11A465 Safari/9537.53 BingPreview/1.0b" "www.superior-dentistry.com"
